,importance
total_bill,0.6472704658938166
size,0.1414668240866748
day_Sun,0.038630917386381816
smoker_Yes,0.029875638435007363
smoker_No,0.028782773422307065
day_Sat,0.02557628375500535
sex_Male,0.023200340791347373
sex_Female,0.023069480906039545
day_Fri,0.011995986617036769
time_Lunch,0.010845831067796963
time_Dinner,0.01041708892688496
day_Thur,0.00886836871170129
