,coefficient
redirect links_pointing_to_page,0.39426484099280723
shortening_service dns_record,-0.39360448738100157
prefix_suffix abnormal_url,0.39209538158070795
iframe links_pointing_to_page,-0.38917298410939877
having_sub_domain server_form_handler,0.38765459763931265
server_form_handler statistical_report,-0.3862286622547414
domain_registration_length port,0.3850181164335025
url_length https_token,-0.3832557652143652
url_length on_mouseover,-0.38282748693665447
abnormal_url dns_record,-0.37837495038887803
url_length dns_record,0.3730147655975851
request_url rightclick,0.37192475648917894
popup_window google_index,-0.3709388252842091
submitting_to_email popup_window,0.36963252824200943
google_index statistical_report,-0.36781853432858963
rightclick web_traffic,0.36242039924146274
port https_token,0.36238798028628433
web_traffic google_index,0.3573517562197423
having_sub_domain web_traffic,-0.3565023898484157
iframe age_of_domain,-0.3564907272078733
shortening_service favicon,-0.35600945031260617
redirect web_traffic,0.35046473565744557
iframe dns_record,0.34819399511314464
rightclick google_index,0.3468811740888864
request_url links_pointing_to_page,-0.34585810751862406
having_at_symbol on_mouseover,-0.3457127989242399
favicon statistical_report,-0.34485880369755945
favicon web_traffic,-0.3438781990079495
port links_pointing_to_page,0.34300380782488504
rightclick page_rank,-0.34198867405805455
ssl_final_state abnormal_url,-0.34186363799744146
https_token age_of_domain,-0.34070711059513903
server_form_handler rightclick,0.34001078424101117
ssl_final_state google_index,-0.33668357773492275
links_in_tags popup_window,0.33508922016136344
url_length request_url,0.33381043651282094
links_in_tags submitting_to_email,-0.3333340796983213
request_url links_in_tags,0.33297938080354106
https_token google_index,0.3322747779463356
double_slash_redirecting links_pointing_to_page,0.33193914773722494
https_token abnormal_url,-0.3284701877633687
age_of_domain web_traffic,-0.3271949724363597
having_at_symbol port,0.32637444770765667
having_ip_address page_rank,0.3258918510992509
domain_registration_length statistical_report,0.32376264078482975
shortening_service having_sub_domain,0.3227900092475953
prefix_suffix age_of_domain,0.32160371182459185
double_slash_redirecting,0.3211799171780264
url_of_anchor links_in_tags,0.3206563685405853
web_traffic statistical_report,0.3167852827870077
popup_window page_rank,0.31591109007975166
iframe,0.31478389415304153
having_at_symbol google_index,-0.31410677513539853
url_length,-0.311909244808611
shortening_service links_pointing_to_page,0.31071337051632764
having_at_symbol https_token,-0.31016836817547994
url_of_anchor on_mouseover,0.30958287814219426
url_length favicon,-0.3094170755236577
domain_registration_length url_of_anchor,-0.30807973494430274
rightclick dns_record,0.30707320345892264
having_sub_domain url_of_anchor,0.30641575500894286
port request_url,-0.3051175109602974
port web_traffic,-0.3037996109311227
having_at_symbol domain_registration_length,0.30338420154630585
having_sub_domain google_index,0.30302062227336574
request_url url_of_anchor,-0.30082365024820285
server_form_handler abnormal_url,-0.30007373171819435
favicon google_index,-0.2985242170820468
prefix_suffix having_sub_domain,-0.29662647429577405
url_length iframe,0.29511785969329657
https_token dns_record,-0.291471102428783
redirect page_rank,-0.2912891650165936
having_ip_address age_of_domain,0.289839920298255
ssl_final_state url_of_anchor,0.28883039635979246
url_length abnormal_url,-0.2881414875455746
having_ip_address request_url,-0.2867609376036774
abnormal_url page_rank,0.28664003217693745
domain_registration_length submitting_to_email,0.28444767348512595
age_of_domain google_index,0.2827934078937754
domain_registration_length links_pointing_to_page,-0.2827682830580825
ssl_final_state dns_record,-0.2822271470244821
prefix_suffix domain_registration_length,-0.2818737097358293
submitting_to_email redirect,-0.2810311486617462
shortening_service ssl_final_state,-0.28055762676380924
web_traffic page_rank,0.2772251485917902
abnormal_url age_of_domain,0.2737041002546726
shortening_service submitting_to_email,-0.2736275091544347
favicon abnormal_url,-0.2733536668903218
popup_window web_traffic,0.2717849697507175
request_url popup_window,0.27058429295029535
having_sub_domain request_url,-0.265247129210427
https_token request_url,0.26395376109865043
having_ip_address port,-0.26043455651077474
server_form_handler links_pointing_to_page,-0.26036235846834793
having_ip_address shortening_service,-0.2548248962605842
submitting_to_email age_of_domain,0.2546868138399066
having_sub_domain page_rank,0.2544809213564338
double_slash_redirecting ssl_final_state,0.25338061835667147
dns_record statistical_report,0.2506206617182888
links_in_tags redirect,-0.2503244861760663
rightclick statistical_report,0.24905446294516742
server_form_handler redirect,-0.24715308476111425
having_sub_domain submitting_to_email,0.2391892226880822
google_index links_pointing_to_page,-0.23746559891470792
url_of_anchor age_of_domain,-0.23511114971848296
having_ip_address submitting_to_email,-0.23435090975108905
favicon,-0.23412082053817487
double_slash_redirecting web_traffic,0.23213114746688154
double_slash_redirecting prefix_suffix,0.22765232392283138
server_form_handler submitting_to_email,-0.2269174495194697
port popup_window,0.22516889104991933
having_sub_domain domain_registration_length,-0.2245121755794709
shortening_service server_form_handler,0.2230529627741005
ssl_final_state web_traffic,-0.22197929932723337
port redirect,-0.22121519473941434
submitting_to_email rightclick,-0.22092938047184074
shortening_service https_token,0.21584012492342972
prefix_suffix on_mouseover,-0.21495230972469068
url_length prefix_suffix,0.21376013476558858
favicon popup_window,0.21113009951364067
domain_registration_length https_token,-0.21034486950124343
rightclick popup_window,0.2085628505540458
shortening_service double_slash_redirecting,0.203983814493243
having_sub_domain ssl_final_state,-0.20393421189746574
iframe page_rank,0.2036421721430825
url_length statistical_report,-0.20253521597809973
shortening_service port,0.2020400396059755
port rightclick,0.20146036434600795
domain_registration_length page_rank,0.20093982504542918
having_ip_address double_slash_redirecting,-0.20021712499241215
having_sub_domain popup_window,0.197607997042937
on_mouseover page_rank,-0.19603091054618418
links_in_tags statistical_report,-0.19294834786609838
having_ip_address rightclick,-0.19290526291901752
double_slash_redirecting port,0.19093640059672412
request_url redirect,0.1881833204062908
links_in_tags dns_record,0.188083032794499
redirect google_index,0.18692880898354386
ssl_final_state age_of_domain,0.18508434132701115
